	牌相	圖相	牌義	解牌-工作	解牌-感情
  愚人牌	正向	快樂的在懸崖上向前走去	新的冒險	工作：嘗試不同的冒險，決定在你自己	感情：嘗試新的事物
  愚人牌	負向		拒絕承諾，時機掌握不足		
  魔術師	正向	擁有金幣，權杖，寶劍，聖杯	實踐夢想	工作：展現意志，開始新專案	感情：獲得所需
  魔術師	負向		不切實際，缺乏動機		
  女祭師	正向	坐著拿著古琴，背後有成熟果實的女祭司	開啟心靈，依直覺進行決定	工作：使用直覺進行工作	感情：聽從直覺解決問題
  女祭師	正向		從離群索居中回來，積極找新機會		
  皇后牌	正向	坐在富饒花園的皇后	肥沃富裕	工作：進行新專案，可能會在家工作，進行創作型的職業，要有耐心等待開花結果	感情：搭配聖杯3，金幣9，則是生產牌。關係在滋長
  皇后牌	中性		理性思考後解決問題		
  皇帝牌	中性	嚴肅的皇帝	學習控制，拿回權力，像個皇帝	工作：可能因為什麼原因感到無力，需要學習拿回權力	感情：可能現任或前任配偶讓你感到無力，需要拿回主導權
  皇帝牌	負向		缺乏自律而無法成功		
  教皇牌	中性	坐在信眾前的教宗	智慧：藉由智者，尋求解答	工作：需要跳出框架，尋找心靈導師，解決困境。	感情：需要一個夥伴教導你開啟智慧
  教皇牌	正向		新思想觀念形成		
  戀人牌	正向	一對在天使前的戀人	浪漫和諧	工作：面臨選擇，聽從你的心	感情：充滿浪漫與愛
  戀人牌	中性		舊關係結束，邁向新闗係		
  戰車牌	中性	坐在兩匹人馬獅車拉的馬車的王子	冒險，處理矛盾	工作：不要放棄，可能會很辛苦，但最終會成功	感情：如果處理的好會是好的結果，可能會有點辛苦
  戰車牌	中性		控制情緒		
  正義牌	正向	摸著獅子的人	勇敢：不再是受害者，做個勇者	工作：由受害者轉變為具有力量的勇者	感情：需要力量拿回你的權力
  正義牌	負向		不公不義，不誠實		
  隱士牌	正向	拿著燈前行的老人	孤獨	工作：會感到孤立無援，反事得靠自己	感情：感到孤獨
  隱士牌	中性		冷靜思考，找出內在力量		
  命運之輪牌	正向	被水，土，空氣，火圍繞，持續轉動的命運之輪	命運：順應人生河流	工作：新的財富可能將來臨，但你要打開心房	感情：不要堅持真命天子，所有關係都是有價值的
  命運之輪牌	中性		省視內心		
  力量牌	中性	一手拿著寶劍，一手拿著天秤，坐著的皇后	宇宙法則	工作：種什麼因，結什麼果。	感情：種什麼因，結什麼果。
  力量牌	負向		意志軟弱		
  吊人牌	中性	倒吊著，表情安詳的人	等待：抵抗沒有用，等待更好的時機	工作：先別行動，等待答案	感情：可能感到被束縛，先別做大行動
  吊人牌	中性		不要跟隨別人，要自我成長		
  死神牌	中性	死神騎士，認輸的國王，疑惑的小孩	改變：離開現有生活	工作：也許是時機離開現有工作，或改變工作型態	感情：也許是時機結束現有戀情，不要拒絕改變
  死神牌	負向		因為抗拒而消減力量		
  節制牌	中性	拿著聖杯，站在溪中的天使	耐心：3到5年的長期規劃，用耐心迎來果實	工作：闗注3年後你想要的生活，努力就會成功	感情：有耐心你就會得到想要的麼果。
  節制牌	中性		暗示需要旅行及學習		
  惡魔牌	負向	前方一對被奴役男女的惡魔	誘惑：物質或人的誘惑，阻礙你的發展	工作：惡魔在你的身後，擔憂或其他不良事物奴役你的事業	感情：感到無力被傷害
  惡魔牌	正向		走向自由，做出選擇		
  塔牌	負向	雷雨下的高塔，躍下的人們	震驚：脆弱基礎的崩壞，會有突發的驚恐事件	工作：意料之外的驚恐，誠實面對，努力療癒	感情：不夠堅實的基礎，試著重建
  塔牌	負向		被監禁，壓抑		
